														
//用户														
[User]														
Id	username	password	JS											
1	GYS1	生产												
2	GYS2	生产												
3	GYS3	中转												
														
[GLY_GYS]														
UserId	GYSId													
27	1													
28	2													
29	3													
														
[ZHY_GYS]														
UserId	GYSId													
30	1													
31	1													
32	2													
33	3													
														
														
//安装公司														
[AZGS]														
id	name													
1	AZGS1													
2	AZGS2													
														
														
[GLY_AZGS]														
UserId	AZGSId													
34	1													
35	1													
														
[AZG_AZGS]														
UserId	AZGSId													
36	1													
37	1													
38	2													
														
//灯片														
[DP]														
id	name	PPId	GYSId											
1	DP1	1	1											
2	DP2	1	1											
3	DP3	1	1											
4	DP4	1	2											
5	DP5	2	1											
6	DP6	2	1											
7	DP7	2	2											
8	DP8	3	1											
9	DP9	3	1											
10	DP10	3	2											
11	DP11	3	2											
12	DP12	4	1											
13	DP13	4	1											
14	DP14	4	2											
15	DP15	4	2											
16	DP16	4	2											
17	DP17	4	2											
18	DP18	4	2											
19	DP19	4	2											
20	DP20	4	2											
21	DP21	4	2											
22	DP22	4	2											
23	DP23	4	2											
24	DP24	4	2											
25	DP25	4	2											
26	DP26	4	2											
27	DP27	4	2											
28	DP28	4	2											
29	DP29	5	1											
30	DP30	5	1											
31	DP31	5	2											
32	DP32	6	1											
33	DP33	6	1											
34	DP34	6	2											
35	DP35	6	2											
36	DP36	6	2											
37	DP37	6	2											
38	DP38	6	2											
39	DP39	6	2											
40	DP40	6	2											
41	DP41	4	2											
42	DP42	5	1											
43	DP43	5	1											
44	DP44	5	2											
45	DP45	6	1											
46	DP46	6	1											
47	DP47	6	2											
														
//灯位														
[DW]														
id	name	GTId	DPId	CZ	CC									
1	DW1	1	1	100*100	铜板									
2	DW2	1	1	100*100	铜板									
3	DW3	1	4	200*100	铜板									
4	DW1	2	1	100*100	铜板									
5	DW2	2	2	100*100	铜板									
6	DW1	3	3	200*100	铜板									
8	DW1	6	5	100*100	铜板									
9	DW2	6	6	100*100	铜板									
10	DW3	6	7	200*100	铜板									
11	DW1	7	8	100*100	铜板									
12	DW2	7	9	100*100	铜板									
13	DW3	7	10	200*100	铜板									
14	DW4	7	11	200*100	铜板									
15	DW1	8	12	100*100	铜板									
16	DW2	8	13	100*100	铜板									
17	DW3	8	14	200*100	铜板									
18	DW4	8	15	200*100	铜板									
19	DW5	8	16	200*100	铜板									
20	DW6	8	17	200*100	铜板									
21	DW7	8	18	200*100	铜板									
22	DW8	8	19	200*100	铜板									
23	DW9	8	20	200*100	铜板									
24	DW10	8	21	200*100	铜板									
25	DW11	8	22	200*100	铜板									
26	DW12	8	23	200*100	铜板									
27	DW13	8	24	200*100	铜板									
28	DW14	8	25	200*100	铜板									
29	DW15	8	26	200*100	铜板									
30	DW16	8	27	200*100	铜板									
31	DW17	8	28	200*100	铜板									
32	DW1	9	29	100*100	铜板									
33	DW2	9	30	100*100	铜板									
34	DW3	9	31	200*100	铜板									
35	DW1	10	32	100*100	铜板									
36	DW2	10	33	100*100	铜板									
37	DW3	10	34	200*100	铜板									
38	DW4	10	35	200*100	铜板									
39	DW5	10	36	200*100	铜板									
40	DW6	10	37	200*100	铜板									
41	DW7	10	38	200*100	铜板									
42	DW8	10	39	200*100	铜板									
43	DW9	10	40	200*100	铜板									
44	DW1	11	12	100*100	铜板									
45	DW2	11	41	100*100	铜板									
46	DW4	9	42	100*100	铜板									
47	DW5	9	43	100*100	铜板									
48	DW6	9	44	200*100	铜板									
49	DW10	10	45	100*100	铜板									
50	DW11	10	46	100*100	铜板									
51	DW12	10	47	200*100	铜板									
														
[DW]														
id	name	GTId	CZ	CC										
7	DW1	4	100*100	铜板										
														
[FGTester]														
id	name	PPId	Code1											
1	FG1	1	Tester1											
2	FG2	1	Tester1											
3	FG3	1	Tester1											
														
//物料														
[WL]														
id	name	code	level	PPId	GYSId	imageUrl								
1	WL1_3_1	1_3_1	3	1	1	imageUrl1_3_1								
2	WL1_3_2	1_3_2	3	1	1	imageUrl1_3_2								
3	WL1_2_1	1_2_1	2	1	1	imageUrl1_2_1								
4	WL1_2_2	1_2_2	2	1	1	imageUrl1_2_2								
5	WL1_1_1	1_1_1	1	1	2	imageUrl1_1_1								
6	WL1_1_2	1_1_2	1	1	2	imageUrl1_1_2								
7	WL2_3_1	2_3_1	3	2	1	imageUrl2_3_1								
8	WL2_2_1	2_2_1	2	2	1	imageUrl2_2_1								
9	WL2_1_1	2_1_1	1	2	2	imageUrl2_1_1								
10	WL3_3_1	3_3_1	3	3	1	imageUrl3_3_1								
11	WL3_2_1	3_2_1	2	3	1	imageUrl3_2_1								
12	WL3_1_1	3_1_1	1	3	2	imageUrl3_1_1								
13	WL3_1_2	3_1_2	1	3	2	imageUrl3_1_2								
14	WL4_3_1	4_3_1	3	4	1	imageUrl4_3_1								
15	WL4_2_1	4_2_1	2	4	1	imageUrl4_2_1								
16	WL4_1_1	4_1_1	1	4	2	imageUrl4_1_1								
17	WL4_1_2	4_1_2	1	4	2	imageUrl4_1_2								
18	WL4_1_3	4_1_3	1	4	2	imageUrl4_1_3								
19	WL4_1_4	4_1_4	1	4	2	imageUrl4_1_4								
20	WL4_1_5	4_1_5	1	4	2	imageUrl4_1_5								
21	WL4_1_6	4_1_6	1	4	2	imageUrl4_1_6								
22	WL4_1_7	4_1_7	1	4	2	imageUrl4_1_7								
23	WL5_3_1	5_3_1	3	5	1	imageUrl5_3_1								
24	WL5_2_1	5_2_1	2	5	1	imageUrl5_2_1								
25	WL5_1_1	5_1_1	1	5	2	imageUrl5_1_1								
26	WL6_3_1	6_3_1	3	6	1	imageUrl6_3_1								
27	WL6_2_1	6_2_1	2	6	1	imageUrl6_2_1								
28	WL6_1_1	6_1_1	1	6	2	imageUrl6_1_1								
29	WL4_1_8	4_1_8	1	4	2	imageUrl4_1_8								
30	WL5_1_2	5_1_2	1	5	2	imageUrl5_1_2								
31	WL6_1_2	6_1_2	1	6	2	imageUrl6_1_2								
														
//二级组合														
[EJZH]														
id	name	WLId	PPId	imageUrl										
1	EJZH1	3	1	imageUrlEJZH1										
2	EJZH2	3	1	imageUrlEJZH2										
3	EJZH3	3	1	imageUrlEJZH3										
4	EJZH4	4	1	imageUrlEJZH4										
5	EJZH5	8	2	imageUrlEJZH5										
6	EJZH6	11	3	imageUrlEJZH6										
7	EJZH7	15	4	imageUrlEJZH7										
8	EJZH8	24	5	imageUrlEJZH8										
9	EJZH9	27	5	imageUrlEJZH9										
														
//二级组合_FGTester														
[EJZH_FGTester]														
EJZHId	FGTesterId	number												
2	1	2												
3	1	2												
														
//二级组合三级物料														
[EJZH_SJWL]														
EJZHId	WLId	number												
3	1	2												
4	1	2												
4	2	2												
5	7	2												
6	10	1												
7	14	1												
8	23	1												
9	26	1												
														
//一级组合														
[YJZH]														
id	name	WLId	PPId	imageUrl										
1	YJZH1	5	1	imageUrlYJZH1										
2	YJZH2	5	1	imageUrlYJZH2										
3	YJZH3	5	1	imageUrlYJZH3										
4	YJZH4	9	2	imageUrlYJZH4										
5	YJZH5	12	3	imageUrlYJZH5										
6	YJZH6	13	3	imageUrlYJZH6										
7	YJZH7	16	4	imageUrlYJZH7										
8	YJZH8	17	4	imageUrlYJZH8										
9	YJZH9	18	4	imageUrlYJZH9										
10	YJZH10	19	4	imageUrlYJZH10										
11	YJZH11	20	4	imageUrlYJZH11										
12	YJZH12	21	4	imageUrlYJZH12										
13	YJZH13	22	4	imageUrlYJZH13										
14	YJZH14	25	5	imageUrlYJZH14										
15	YJZH15	28	6	imageUrlYJZH15										
16	YJZH16	29	4	imageUrlYJZH16										
17	YJZH17	30	5	imageUrlYJZH17										
18	YJZH18	31	6	imageUrlYJZH18										
														
//一级组合二级组合														
[YJZH_EJZH]														
YJZHId	EJZHId	number												
2	1	2												
2	2	2												
3	2	2												
4	5	2												
5	6	1												
7	7	1												
14	8	1												
15	9	1												
														
														
//柜台一级组合														
[GT_YJZH]														
GTId	YJZHId	number												
1	1	2												
1	2	2												
2	1	2												
6	4	2												
7	5	2												
7	6	2												
8	7	4												
8	8	4												
8	9	4												
8	10	4												
8	11	4												
8	12	4												
8	13	4												
9	14	1												
10	15	2												
11	7	4												
11	16	4												
9	17	1												
10	18	2												
														
//一级组合相关图														
[YJZHXGT]														
id	imageUrl	YJZHId												
1	imageUrlYJZH1	1												
2	imageUrlYJZH2	2												
														
//二级组合相关图														
[EJZHXGT]														
id	imageUrl	EJZHId												
1	imageUrlEJZH1	1												
2	imageUrlEJZH2	2												
														
//订单信息														
[DD]														
id	name	status	PPId											
1	DD_GT6	初始	2											
2	DD_GT7	已审批	3											
3	DD_GT8	已审批	4											
4	DD_GT9	已审批	5											
5	DD_GT10	已审批	6											
														
//订单柜台物料快照														
[DD_GT_WLSnapshot]														
id	DDId	GTId	WLId	number										
1	1	6	7	8										
2	1	6	8	4										
3	1	6	9	2										
4	2	7	10	2										
5	2	7	11	2										
6	2	7	12	2										
7	2	7	13	2										
20	5	10	26	2										
21	5	10	27	2										
22	5	10	28	2										
28	4	9	30	1										
8	3	8	14	4										
9	3	8	15	4										
10	3	8	16	4										
11	3	8	17	4										
12	3	8	18	4										
13	3	8	19	4										
14	3	8	20	4										
15	3	8	21	4										
16	3	8	22	4										
17	4	9	23	1										
18	4	9	24	1										
19	4	9	25	1										
23	3	11	14	4										
24	3	11	15	4										
25	3	11	16	4										
26	3	11	29	4										
27	5	10	31	2										
														
//订单柜台物料														
[DD_GT_WL]														
id	DDId	GTId	WLId	number	GYSId	status	ZXNumber							
1	1	6	7	8	1	初始	0							
2	1	6	8	4	1	初始	0							
3	1	6	9	2	2	初始	0							
														
[DD_GT_WL]														
id	DDId	GTId	WLId	number	GYSId	status	ZXNumber	AZGSId						
4	2	7	10	2	1	初始	0	1						
5	2	7	11	2	1	初始	0	1						
6	2	7	12	2	2	初始	0	2						
7	2	7	13	2	2	已分配发货供应商	0	2						
														
[DD_GT_WL]														
id	DDId	GTId	WLId	number	GYSId	status	ZXNumber							
20	5	10	26	2	1	装箱完成	2							
21	5	10	27	2	1	收货	2							
22	5	10	28	2	2	收货	2							
28	4	9	30	1	2	可拍全景图	1							
														
[DD_GT_WL]														
id	DDId	GTId	WLId	number	GYSId	status	ZXNumber	AZGSId	AZGUserId	YJRKDate	YJZXDate	YJAZDate		
8	3	8	14	4	1	已分配发货供应商	1	1	36	2018-2-2	2018-2-2	2018-2-2		
9	3	8	15	4	3	已分配发货供应商	1	1	37	2018-2-2	2018-2-2	2018-2-2		
10	3	8	16	4	2	装箱完成	4	1	36	2018-2-2	2018-2-2	2018-2-2		
11	3	8	17	4	2	装箱完成	4	1	37	2018-2-2	2018-2-2	2018-2-2		
12	3	8	18	4	2	装箱完成	4	2	38	2018-2-2	2018-2-2	2018-2-2		
13	3	8	19	4	2	收货	4	1	36	2018-2-2	2018-2-2	2018-2-2		
14	3	8	20	4	2	收货	4	2	38	2018-2-2	2018-2-2	2018-2-2		
15	3	8	21	4	2	收货	4	2	38	2018-2-2	2018-2-2	2018-2-2		
16	3	8	22	4	2	收货	4	2	38	2018-2-2	2018-2-2	2018-2-2		
17	4	9	23	1	3	完成	1	2	38	2018-2-2	2018-2-2	2018-2-2		
18	4	9	24	1	3	完成	1	2	38	2018-2-2	2018-2-2	2018-2-2		
19	4	9	25	1	3	完成	1	2	38	2018-2-2	2018-2-2	2018-2-2		
23	3	11	14	4	1	已分配发货供应商	0	2	38	2018-2-2	2018-2-2	2018-2-2		
24	3	11	15	4	3	已分配发货供应商	0	2	38	2018-2-2	2018-2-2	2018-2-2		
25	3	11	16	4	2	已分配发货供应商	0	2	38	2018-2-2	2018-2-2	2018-2-2		
26	3	11	29	4	3	已分配发货供应商	0	2	38	2018-2-2	2018-2-2	2018-2-2		
27	5	10	31	2	2	可拍全景图	1	2	38	2018-2-2	2018-2-2	2018-2-2		
														
//物料全景反馈图														
[WLQJFKT]														
id	imageUrl	DDId	GTId	UserId										
3	GT9_AZG3_QJT1	4	9	38										
4	GT9_AZG3_QJT2	4	9	38										
5	GT9_AZG3_QJT3	4	9	38										
														
//快递单														
[KDD]														
id	code	GTId												
1	KDD1	8												
2	KDD2	8												
3	KDD3	8												
4	KDD4	8												
5	KDD5	9												
6	KDD6	8												
7	KDD7	8												
8	KDD8	8												
9	KDD9	8												
10	KDD10	8												
11	KDD11	9												
12	KDD12	10												
13	KDD13	10												
14	KDD14	10												
15	KDD15	10												
16	KDD16	10												
17	KDD17	8												
18	KDD18	8												
19	KDD19	7												
20	KDD20	7												
21	KDD21	7												
22	KDD22	7												
23	KDD23	8												
24	KDD24	8												
25	KDD25	8												
26	KDD26	8												
27	KDD27	8												
28	KDD28	8												
29	KDD29	7												
30	KDD30	7												
31	KDD31	7												
32	KDD32	7												
33	KDD33	8												
34	KDD34	8												
35	KDD35	8												
36	KDD36	8												
37	KDD37	9												
38	KDD38	10												
39	KDD39	9												
40	KDD40	10												
														
//快递箱														
[KDX]														
id	EWM	GTId	KDDId	status	DDId	HWType								
3	{"type":"KDX","uuid":"KDX3"}	8	1	发货	3	WL								
4	{"type":"KDX","uuid":"KDX4"}	8	2	收箱	3	WL								
5	{"type":"KDX","uuid":"KDX5"}	8	2	收箱	3	WL								
6	{"type":"KDX","uuid":"KDX6"}	8	3	收箱	3	WL								
7	{"type":"KDX","uuid":"KDX7"}	8	4	收箱	3	WL								
8	{"type":"KDX","uuid":"KDX8"}	9	5	收箱	4	WL								
10	{"type":"KDX","uuid":"KDX10"}	8	6	发货	4	DP								
11	{"type":"KDX","uuid":"KDX11"}	8	7	收箱	4	DP								
12	{"type":"KDX","uuid":"KDX12"}	8	8	收箱	4	DP								
13	{"type":"KDX","uuid":"KDX13"}	8	9	收箱	4	DP								
14	{"type":"KDX","uuid":"KDX14"}	8	10	收箱	4	DP								
15	{"type":"KDX","uuid":"KDX15"}	9	11	收箱	5	DP								
16	{"type":"KDX","uuid":"KDX16"}	10	12	收箱	5	WL								
17	{"type":"KDX","uuid":"KDX17"}	10	13	收箱	4	WL								
18	{"type":"KDX","uuid":"KDX18"}	10	14	收箱	3	DP								
19	{"type":"KDX","uuid":"KDX19"}	10	15	收箱	3	DP								
21	{"type":"KDX","uuid":"KDX21"}	10	16	收箱	5	DP								
52	{"type":"KDX","uuid":"KDX52"}	9	37	收箱	4	WL								
53	{"type":"KDX","uuid":"KDX53"}	10	38	收箱	5	WL								
54	{"type":"KDX","uuid":"KDX54"}	9	39	收箱	4	DP								
55	{"type":"KDX","uuid":"KDX55"}	10	40	收箱	5	DP								
														
[KDX]														
id	EWM	GTId	KDDId	status	HWType									
23	{"type":"KDX","uuid":"KDX23"}	8	17	发货	WL									
24	{"type":"KDX","uuid":"KDX24"}	8	18	收箱	WL									
26	{"type":"KDX","uuid":"KDX26"}	7	19	发货	WL									
27	{"type":"KDX","uuid":"KDX27"}	7	20	收箱	WL									
29	{"type":"KDX","uuid":"KDX29"}	7	21	发货	WL									
30	{"type":"KDX","uuid":"KDX30"}	7	22	收箱	WL									
32	{"type":"KDX","uuid":"KDX32"}	8	23	发货	WL									
33	{"type":"KDX","uuid":"KDX33"}	8	24	收箱	WL									
35	{"type":"KDX","uuid":"KDX35"}	8	25	发货	WL									
36	{"type":"KDX","uuid":"KDX36"}	8	26	收箱	WL									
38	{"type":"KDX","uuid":"KDX38"}	8	27	发货	DP									
39	{"type":"KDX","uuid":"KDX39"}	8	28	收箱	DP									
41	{"type":"KDX","uuid":"KDX41"}	7	29	发货	DP									
42	{"type":"KDX","uuid":"KDX42"}	7	30	收箱	DP									
44	{"type":"KDX","uuid":"KDX44"}	7	31	发货	DP									
45	{"type":"KDX","uuid":"KDX45"}	7	32	收箱	DP									
47	{"type":"KDX","uuid":"KDX47"}	8	33	发货	DP									
48	{"type":"KDX","uuid":"KDX48"}	8	34	收箱	DP									
50	{"type":"KDX","uuid":"KDX50"}	8	35	发货	DP									
51	{"type":"KDX","uuid":"KDX51"}	8	36	收箱	DP									
														
[KDX]														
id	EWM	GTId	status	DDId	HWType									
1	{"type":"KDX","uuid":"KDX1"}	8	装箱	3	WL									
2	{"type":"KDX","uuid":"KDX2"}	8	装箱	3	WL									
9	{"type":"KDX","uuid":"KDX9"}	8	装箱	3	DP									
20	{"type":"KDX","uuid":"KDX20"}	8	装箱	3	WL									
														
[KDX]														
id	EWM	GTId	status	HWType										
22	{"type":"KDX","uuid":"KDX22"}	8	装箱	WL										
25	{"type":"KDX","uuid":"KDX25"}	7	装箱	WL										
28	{"type":"KDX","uuid":"KDX28"}	7	装箱	WL										
31	{"type":"KDX","uuid":"KDX31"}	8	装箱	WL										
34	{"type":"KDX","uuid":"KDX34"}	8	装箱	WL										
37	{"type":"KDX","uuid":"KDX37"}	8	装箱	DP										
40	{"type":"KDX","uuid":"KDX40"}	7	装箱	DP										
43	{"type":"KDX","uuid":"KDX43"}	7	装箱	DP										
46	{"type":"KDX","uuid":"KDX46"}	8	装箱	DP										
49	{"type":"KDX","uuid":"KDX49"}	8	装箱	DP										
														
														
//快递箱操作														
[KDXCZ]														
id	KDXId	status	UserId											
1	1	装箱	30											
2	2	装箱	32											
3	3	装箱	32											
4	3	发货	32											
5	4	装箱	32											
6	4	发货	32											
7	4	收箱	24											
8	5	装箱	32											
9	5	发货	32											
10	5	收箱	24											
11	6	装箱	32											
12	7	装箱	32											
13	6	发货	32											
14	7	发货	32											
15	6	收箱	24											
16	7	收箱	24											
17	8	装箱	33											
18	8	发货	33											
19	8	收箱	25											
20	9	装箱	32											
21	10	装箱	32											
22	10	发货	32											
23	11	装箱	32											
24	12	装箱	32											
25	11	发货	32											
26	12	发货	32											
27	11	收箱	24											
28	12	收箱	24											
29	13	装箱	32											
30	14	装箱	32											
31	13	发货	32											
32	14	发货	32											
33	13	收箱	24											
34	14	收箱	24											
35	15	装箱	33											
36	15	发货	33											
37	15	收箱	25											
38	16	装箱	30											
39	16	发货	30											
40	16	收箱	26											
41	17	装箱	32											
42	17	发货	32											
43	17	收箱	26											
44	18	装箱	32											
45	19	装箱	32											
46	18	发货	32											
47	19	发货	32											
48	18	收箱	26											
49	19	收箱	26											
50	20	装箱	33											
102	21	装箱	30											
103	21	发货	30											
104	21	收箱	26											
														
//唯一物料														
[WYWL]														
id	EWM	status	WLId	GYSId										
1	{"type":"WL","typeId":8,"uuid":"8_1"}	入库	8	3										
2	{"type":"WL","typeId":8,"uuid":"8_2"}	入库	8	3										
3	{"type":"WL","typeId":8,"uuid":"8_3"}	入库	8	3										
4	{"type":"WL","typeId":8,"uuid":"8_4"}	入库	8	3										
5	{"type":"WL","typeId": 11,"uuid":"11_1"}	入库	11	3										
6	{"type":"WL","typeId":11,"uuid":"11_2"}	入库	11	3										
7	{"type":"WL","typeId":12,"uuid":"12_X1"}	入库	12	2										
8	{"type":"WL","typeId":12,"uuid":"12_X2"}	出库	12	2										
9	{"type":"WL","typeId":12,"uuid":"12_X3"}	消库	12	2										
10	{"type":"WL","typeId":12,"uuid":"12_X4"}	消库	12	1										
11	{"type":"WL","typeId":15,"uuid":"15_2"}	入库	15	3										
12	{"type":"WL","typeId":15,"uuid":"15_3"}	入库	15	3										
13	{"type":"WL","typeId":15,"uuid":"15_4"}	入库	15	3										
105	{“type":"WL","typeId":15,"uuid":"15_5"}	入库	15	1										
														
														
[WYWL]														
id	EWM	status	WLId	GYSId	DDGTWLId	KDXId								
14	{"type":"WL","typeId":14,"uuid":"14_1"}	装箱	14	1	8	1								
15	{"type":"WL","typeId":15,"uuid":"15_1"}	装箱	15	3	9	20								
16	{"type":"WL","typeId":16,"uuid":"16_1"}	装箱	16	2	10	2								
17	{"type":"WL","typeId":16,"uuid":"16_2"}	装箱	16	2	10	2								
18	{"type":"WL","typeId":16,"uuid":"16_3"}	装箱	16	2	10	2								
19	{"type":"WL","typeId":16,"uuid":"16_4"}	装箱	16	2	10	2								
20	{"type":"WL","typeId":17,"uuid":"17_1"}	发货	17	2	11	3								
21	{"type":"WL","typeId":17,"uuid":"17_2"}	发货	17	2	11	3								
22	{"type":"WL","typeId":17,"uuid":"17_3"}	发货	17	2	11	3								
23	{"type":"WL","typeId":17,"uuid":"17_4"}	发货	17	2	11	3								
24	{"type":"WL","typeId":18,"uuid":"18_1"}	收箱	18	2	12	4								
25	{"type":"WL","typeId":18,"uuid":"18_2"}	收箱	18	2	12	4								
26	{"type":"WL","typeId":18,"uuid":"18_3"}	收箱	18	2	12	4								
27	{"type":"WL","typeId":18,"uuid":"18_4"}	收箱	18	2	12	4								
28	{"type":"WL","typeId":19,"uuid":"19_1"}	收箱	19	2	13	4								
29	{"type":"WL","typeId":19,"uuid":"19_2"}	收箱	19	2	13	4								
30	{"type":"WL","typeId":20,"uuid":"20_1"}	收箱	20	2	14	4								
31	{"type":"WL","typeId":20,"uuid":"20_2"}	收箱	20	2	14	4								
32	{"type":"WL","typeId":19,"uuid":"19_3"}	收货	19	2	13	5								
33	{"type":"WL","typeId":19,"uuid":"19_4"}	收货	19	2	13	5								
34	{"type":"WL","typeId":20,"uuid":"20_3"}	收货	20	2	14	5								
35	{"type":"WL","typeId":20,"uuid":"20_4"}	收货	20	2	14	5								
47	{"type":"WL","typeId":26,"uuid":"26_1"}	收箱	26	1	20	16								
48	{"type":"WL","typeId":26,"uuid":"26_2"}	收箱	26	1	20	16								
49	{"type":"WL","typeId":27,"uuid":"27_1"}	收箱	27	1	21	16								
50	{"type":"WL","typeId":27,"uuid":"27_2"}	收货	27	1	21	16								
														
[WYWL]														
id	EWM	status	WLId	GYSId	DDGTWLId	KDXId	AZFKType	imageUrl						
36	{"type":"WL","typeId":21,"uuid":"21_1"}	反馈	21	2	15	6	安装成功	imageUrlWL21_1						
37	{"type":"WL","typeId":21,"uuid":"21_2"}	反馈	21	2	15	6	安装成功	imageUrlWL21_2						
38	{"type":"WL","typeId":21,"uuid":"21_3"}	反馈	21	2	15	6	安装成功	imageUrlWL21_3						
39	{"type":"WL","typeId":21,"uuid":"21_4"}	反馈	21	2	15	6	安装成功	imageUrlWL21_4						
40	{"type":"WL","typeId":22,"uuid":"22_1"}	反馈	22	2	16	7	安装成功	imageUrlWL22_1						
41	{"type":"WL","typeId":22,"uuid":"22_2"}	反馈	22	2	16	7	安装成功	imageUrlWL22_2						
42	{"type":"WL","typeId":22,"uuid":"22_3"}	反馈	22	2	16	7	丢失	imageUrlWL22_3						
43	{"type":"WL","typeId":22,"uuid":"22_4"}	反馈	22	2	16	7	丢失	imageUrlWL22_4						
44	{"type":"WL","typeId":23,"uuid":"23_1"}	反馈	23	3	17	8	丢失	imageUrlWL23_1						
45	{"type":"WL","typeId":24,"uuid":"24_1"}	反馈	24	3	18	8	丢失	imageUrlWL24_1						
46	{"type":"WL","typeId":25,"uuid":"25_1"}	反馈	25	3	19	8	丢失	imageUrlWL25_1						
51	{"type":"WL","typeId":28,"uuid":"28_1"}	反馈	28	2	22	17	安装成功	imageUrlWL28_1						
52	{"type":"WL","typeId":28,"uuid":"28_2"}	反馈	28	2	22	17	安装成功	imageUrlWL28_2						
102	{"type":"WL","typeId":31,"uuid":"31_1"}	反馈	31	2	27	53	安装成功	imageUrlWL31_1						
103	{"type":"WL","typeId":31,"uuid":"31_2"}	反馈	31	2	27	53	安装成功	imageUrlWL31_2						
104	{"type":"WL","typeId":30,"uuid":"30_2"}	反馈	30	2	28	52	安装成功	imageUrlWL30_1						
														
//唯一物料状态														
[WYWLCZ]														
id	WYWLId	status	UserId											
1	1	入库	33											
2	2	入库	33											
3	3	入库	33											
4	4	入库	33											
5	5	入库	33											
6	6	入库	33											
7	7	入库	32											
8	8	入库	32											
9	8	出库	32											
10	9	入库	32											
11	9	消库	32											
12	10	入库	30											
13	10	消库	30											
14	11	入库	33											
15	12	入库	33											
16	13	入库	33											
17	14	装箱	30											
18	15	装箱	33											
19	16	装箱	32											
20	17	装箱	32											
21	18	装箱	32											
22	19	装箱	32											
23	20	装箱	32											
24	21	装箱	32											
25	22	装箱	32											
26	23	装箱	32											
27	20	发货	32											
28	21	发货	32											
29	22	发货	32											
30	23	发货	32											
31	24	装箱	32											
32	25	装箱	32											
33	26	装箱	32											
34	27	装箱	32											
35	28	装箱	32											
36	29	装箱	32											
37	30	装箱	32											
38	31	装箱	32											
39	24	发货	32											
40	25	发货	32											
41	26	发货	32											
42	27	发货	32											
43	28	发货	32											
44	29	发货	32											
45	30	发货	32											
46	31	发货	32											
47	24	收箱	24											
48	25	收箱	24											
49	26	收箱	24											
50	27	收箱	24											
51	28	收箱	24											
52	29	收箱	24											
53	30	收箱	24											
54	31	收箱	24											
55	32	装箱	32											
56	33	装箱	32											
57	34	装箱	32											
58	35	装箱	32											
59	32	发货	32											
60	33	发货	32											
61	34	发货	32											
62	35	发货	32											
63	32	收箱	24											
64	33	收箱	24											
65	34	收箱	24											
66	35	收箱	24											
67	32	收货	36											
68	33	收货	36											
69	34	收货	38											
70	35	收货	38											
71	36	装箱	32											
72	37	装箱	32											
73	38	装箱	32											
74	39	装箱	32											
75	36	发货	32											
76	37	发货	32											
77	38	发货	32											
78	39	发货	32											
79	36	收箱	24											
80	37	收箱	24											
