// 用户							
[User]							
Id	username	password	JS				
[GLY_GYS]							
UserId	GYSId						
22	1						
23	2						
							
							
// 安装公司							
[AZGS]							
id	name						
1	AZGS1						
2	AZGS2						
							
							
[GLY_AZGS]							
UserId	AZGSId						
25	1						
26	2						
							
// 灯片							
[DP]							
id	name	PPId	GYSId				
1	DP1	1	1				
2	DP2	1	2				
3	DP3	1	1				
4	DP4	2	1				
5	DP5	2	2				
6	DP6	2	1				
							
// 灯位							
[DW]							
id	name	GTId	DPId				
1	DW1	1	1				
2	DW2	1	2				
3	DW3	1	2				
4	DW1	2	1				
5	DW2	2	2				
6	DW4	2	3				
7	DW1	5	4				
8	DW2	5	5				
9	DW3	5	5				
10	DW1	6	4				
11	DW2	6	5				
12	DW5	6	6				
							
[FG]							
id	name	PPId	note				
1	FG1	1	NoteFG1				
2	FG2	1	NoteFG2				
3	FG3	1	NoteFG3				
4	FG4	2	NoteFG4				
5	FG5	2	NoteFG5				
6	FG6	2	NoteFG6				
							
[Tester]							
id	name	PPId					
1	Tester1	1					
2	Tester2	1					
3	Tester3	1					
4	Tester5	2					
5	Tester6	2					
6	Tester7	2					
							
[FG_Tester]							
id	FGId	TesterId	PPId				
1	1	1	1				
2	2	2	1				
3	2	3	1				
4	3	1	1				
5	4	4	2				
6	5	5	2				
7	5	6	2				
8	6	4	2				
							
// 物料							
[WL]							
id	name	code	level	PPId	GYSId	imageUrl	
1	WL3_1	1_3_1	3	1	1	UrlWL3_1	
2	WL3_2	1_3_2	3	1	1	UrlWL3_2	
3	WL3_3	1_3_3	3	1	2	UrlWL3_3	
4	WL3_4	1_3_4	3	1	2	UrlWL3_4	
5	WL2_1	1_2_1	2	1	1	UrlWL2_1	
6	WL2_2	1_2_2	2	1	1	UrlWL2_2	
7	WL2_3	1_2_3	2	1	1	UrlWL2_3	
8	WL2_4	1_2_4	2	1	2	UrlWL2_4	
9	WL2_5	1_2_5	2	1	2	UrlWL2_5	
10	WL2_6	1_2_6	2	1	2	UrlWL2_6	
11	WL1_1	1_1_1	1	1	1	UrlWL1_1	
12	WL1_2	1_1_2	1	1	1	UrlWL1_2	
13	WL1_3	1_1_3	1	1	1	UrlWL1_3	
14	WL1_4	1_1_4	1	1	2	UrlWL1_4	
15	WL1_5	1_1_5	1	1	2	UrlWL1_5	
16	WL1_6	1_1_6	1	1	2	UrlWL1_6	
17	WL3_1	2_3_1	3	2	1	UrlWL3_1	
18	WL3_2	2_3_2	3	2	1	UrlWL3_2	
19	WL3_3	2_3_3	3	2	2	UrlWL3_3	
20	WL3_4	2_3_4	3	2	2	UrlWL3_4	
21	WL2_1	2_2_1	2	2	1	UrlWL2_1	
22	WL2_2	2_2_2	2	2	1	UrlWL2_2	
23	WL2_3	2_2_3	2	2	1	UrlWL2_3	
24	WL2_4	2_2_4	2	2	2	UrlWL2_4	
25	WL2_5	2_2_5	2	2	2	UrlWL2_5	
26	WL2_6	2_2_6	2	2	2	UrlWL2_6	
27	WL1_1	2_1_1	1	2	1	UrlWL1_1	
28	WL1_2	2_1_2	1	2	1	UrlWL1_2	
29	WL1_3	2_1_3	1	2	1	UrlWL1_3	
30	WL1_4	2_1_4	1	2	2	UrlWL1_4	
31	WL1_5	2_1_5	1	2	2	UrlWL1_5	
32	WL1_6	2_1_6	1	2	2	UrlWL1_6	
33	WL3_5	1_3_5	3	1	1	UrlWL3_5	
34	WL3_6	1_3_6	3	1	1	UrlWL3_6	
35	WL3_7	1_3_7	3	1	1	UrlWL3_7	
36	WL3_8	1_3_8	3	1	1	UrlWL3_8	
37	WL2_7	1_2_7	2	1	1	UrlWL2_7	
38	WL2_8	1_2_8	2	1	1	UrlWL2_8	
39	WL2_9	1_2_9	2	1	1	UrlWL2_9	
40	WL2_10	1_2_10	2	1	1	UrlWL2_10	
41	WL2_11	1_2_11	2	1	1	UrlWL2_11	
42	WL2_12	1_2_12	2	1	1	UrlWL2_12	
43	WL1_7	1_1_7	1	1	1	UrlWL1_7	
44	WL1_8	1_1_8	1	1	1	UrlWL1_8	
45	WL1_9	1_1_9	1	1	1	UrlWL1_9	
46	WL1_10	1_1_10	1	1	1	UrlWL1_10	
47	WL1_11	1_1_11	1	1	1	UrlWL1_11	
48	WL1_12	1_1_12	1	1	1	UrlWL1_12	
49	WL3_5	2_3_5	3	2	2	UrlWL3_5	
50	WL3_6	2_3_6	3	2	2	UrlWL3_6	
51	WL3_7	2_3_7	3	2	2	UrlWL3_7	
52	WL3_8	2_3_8	3	2	2	UrlWL3_8	
53	WL2_7	2_2_7	2	2	2	UrlWL2_7	
54	WL2_8	2_2_8	2	2	2	UrlWL2_8	
55	WL2_9	2_2_9	2	2	2	UrlWL2_9	
56	WL2_10	2_2_10	2	2	2	UrlWL2_10	
57	WL2_11	2_2_11	2	2	2	UrlWL2_11	
58	WL2_12	2_2_12	2	2	2	UrlWL2_12	
59	WL1_7	2_1_7	1	2	2	UrlWL1_7	
60	WL1_8	2_1_8	1	2	2	UrlWL1_8	
61	WL1_9	2_1_9	1	2	2	UrlWL1_9	
62	WL1_10	2_1_10	1	2	2	UrlWL1_10	
63	WL1_11	2_1_11	1	2	2	UrlWL1_11	
64	WL1_12	2_1_12	1	2	2	UrlWL1_12	
							
// 二级组合							
[EJZH]							
id	name	WLId	PPId	imageUrl			
1	EJZH1	5	1	imageUrlEJZH1			
2	EJZH2	6	1	imageUrlEJZH2			
3	EJZH3	7	1	imageUrlEJZH3			
4	EJZH4	8	1	imageUrlEJZH4			
5	EJZH5	9	1	imageUrlEJZH5			
6	EJZH6	10	1	imageUrlEJZH6			
7	EJZH7	21	2	imageUrlEJZH7			
8	EJZH8	22	2	imageUrlEJZH8			
9	EJZH9	23	2	imageUrlEJZH9			
10	EJZH10	24	2	imageUrlEJZH10			
11	EJZH11	25	2	imageUrlEJZH11			
12	EJZH12	26	2	imageUrlEJZH12			
13	EJZH13	37	1	imageUrlEJZH13			
14	EJZH14	38	1	imageUrlEJZH14			
15	EJZH15	39	1	imageUrlEJZH15			
16	EJZH16	40	1	imageUrlEJZH16			
17	EJZH17	41	1	imageUrlEJZH17			
18	EJZH18	42	1	imageUrlEJZH18			
19	EJZH19	53	2	imageUrlEJZH19			
20	EJZH20	54	2	imageUrlEJZH20			
21	EJZH21	55	2	imageUrlEJZH21			
22	EJZH22	56	2	imageUrlEJZH22			
23	EJZH23	57	2	imageUrlEJZH23			
24	EJZH24	58	2	imageUrlEJZH24			
							
// 二级组合_FGTester							
[EJZH_FGTester]							
EJZHId	FGTesterId	number					
1	1	2					
2	2	2					
2	3	2					
3	1	2					
7	5	2					
8	6	2					
8	7	2					
9	5	2					
							
// 二级组合三级物料							
[EJZH_SJWL]							
EJZHId	WLId	number					
2	1	2					
3	2	2					
3	3	2					
4	1	2					
5	4	2					
8	17	2					
9	18	2					
9	19	2					
10	17	2					
11	20	2					
							
// 一级组合							
[YJZH]							
id	name	WLId	PPId	imageUrl			
1	YJZH1	11	1	imageUrlYJZH1			
2	YJZH2	12	1	imageUrlYJZH2			
3	YJZH3	13	1	imageUrlYJZH3			
4	YJZH4	14	1	imageUrlYJZH4			
5	YJZH5	15	1	imageUrlYJZH5			
6	YJZH6	16	1	imageUrlYJZH6			
7	YJZH7	27	2	imageUrlYJZH7			
8	YJZH8	28	2	imageUrlYJZH8			
9	YJZH9	29	2	imageUrlYJZH9			
10	YJZH10	30	2	imageUrlYJZH10			
11	YJZH11	31	2	imageUrlYJZH11			
12	YJZH12	32	2	imageUrlYJZH12			
13	YJZH13	43	1	imageUrlYJZH13			
14	YJZH14	44	1	imageUrlYJZH14			
15	YJZH15	45	1	imageUrlYJZH15			
16	YJZH16	46	1	imageUrlYJZH16			
17	YJZH17	47	1	imageUrlYJZH17			
18	YJZH18	48	1	imageUrlYJZH18			
19	YJZH19	59	2	imageUrlYJZH19			
20	YJZH20	60	2	imageUrlYJZH20			
21	YJZH21	61	2	imageUrlYJZH21			
22	YJZH22	62	2	imageUrlYJZH22			
23	YJZH23	63	2	imageUrlYJZH23			
24	YJZH24	64	2	imageUrlYJZH24			
							
// 一级组合二级组合							
[YJZH_EJZH]							
YJZHId	EJZHId	number					
1	1	2					
2	2	2					
2	3	2					
3	1	2					
4	4	2					
5	6	2					
7	7	2					
8	8	2					
8	9	2					
9	7	2					
10	10	2					
11	12	2					
							
// 柜台一级组合 							
[GT_YJZH]							
GTId	YJZHId	number					
1	1	2					
2	2	2					
2	3	2					
3	1	2					
4	4	2					
4	5	2					
4	6	2					
5	7	2					
6	8	2					
6	9	2					
7	7	2					
8	10	2					
8	11	2					
							
// 一级组合相关图							
[YJZHXGT]							
id	imageUrl	YJZHId					
1	YJZH1Url1	1					
2	YJZH2Url1	2					
3	YJZH2Url2	2					
4	YJZH4Url1	4					
5	YJZH5Url1	5					
6	YJZH5Url2	5					
							
// 二级组合相关图							
[EJZHXGT]							
id	imageUrl	EJZHId					
1	EJZH1Url1	1					
2	EJZH2Url1	2					
3	EJZH2Url2	2					
4	EJZH4Url1	4					
5	EJZH5Url1	5					
6	EJZH5Url2	5					
							
[end]							
							
							
